event,date,page_url,pdf_url
Village of Ballston Spa Board of Trustees Meeting,"November 10, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19521,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/2026_bspa_fiscal_sponsorhip_projects.pdf
Village of Ballston Spa Board of Trustees Meeting,"November 10, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19401,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/11-10-2025_att_2_of_2.pdf
Village of Ballston Spa Board of Trustees Meeting,"November 10, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19401,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/11-10-2025_att_1_of_2.pdf
Village of Ballston Spa Board of Trustees Meeting,"November 10, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19401,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/bd._mtg._10.27.25.pdf
Village of Ballston Spa Board of Trustees Meeting,"November 10, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19401,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/special_mtg._10.27.25.pdf
Village of Ballston Spa Board of Trustees Meeting,"November 10, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/19401,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/agenda_11.10.25_fsr.pdf
Zoning Board of Appeals Meeting,"November 6, 2025 - 6:00pm",https://www.ballstonspa.gov/home/events/19316,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/11.6.25_zba_agenda.pdf
Committee on the Arts Meeting,"November 5, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/17571,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/meeting_agenda_11.5.2025.pdf
Zoning Board of Appeals Meeting,"October 29, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/18986,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/info_packet_114_south_street_jordan.pdf
Zoning Board of Appeals Meeting,"October 29, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/18986,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/10.29.25_zba_agenda.pdf
Zoning Board of Appeals Meeting,"October 29, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/18986,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/galway_st_subdivision_application_.pdf
Zoning Board of Appeals Meeting,"October 29, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/18986,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/108000-site_vicinity_plan.pdf
Zoning Board of Appeals Meeting,"October 29, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/18986,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/108000-site_plan_checklist.pdf
Zoning Board of Appeals Meeting,"October 29, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/18986,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/108000-site_plan_application.pdf
Zoning Board of Appeals Meeting,"October 29, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/18986,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/108000-seaf.pdf
Zoning Board of Appeals Meeting,"October 29, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/18986,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/108000-concept_layout.pdf
Zoning Board of Appeals Meeting,"October 29, 2025 - 7:00pm",https://www.ballstonspa.gov/home/events/18986,https://www.ballstonspa.gov/sites/g/files/vyhlif6186/f/events/108000-2025_10_7-project_narrative.pdf
